freq_hz,h1_db,h2_target_db,h2_actual_db,h2_actual_linear,h2_actual_phase_rad,htotal_actual_db
3500000000.000000,0.385545101,-0.385545101,-0.350812715,0.960415950638,-1.178097245096,0.034732386
3501000000.000000,0.390103627,-0.390103627,-0.352717943,0.960205309016,-1.194590606528,0.037385684
3502000000.000000,0.388335144,-0.388335144,-0.354406435,0.960018668189,-1.211083967959,0.033928709
3503000000.000000,0.411742411,-0.411742411,-0.355880529,0.959855755897,-1.227577329390,0.055861882
3504000000.000000,0.370056173,-0.370056173,-0.357142669,0.959716290152,-1.244070690822,0.012913504
3505000000.000000,0.389723039,-0.389723039,-0.358195399,0.959599979571,-1.260564052253,0.031527640
3506000000.000000,0.378267416,-0.378267416,-0.359041363,0.959506523706,-1.277057413684,0.019226053
3507000000.000000,0.384897054,-0.384897054,-0.359683299,0.959435613370,-1.293550775116,0.025213755
3508000000.000000,0.369610607,-0.369610607,-0.360124038,0.959386930968,-1.310044136547,0.009486569
3509000000.000000,0.363948630,-0.363948630,-0.360366498,0.959360150816,-1.326537497978,0.003582132
3510000000.000000,0.358643051,-0.358643051,-0.360413681,0.959354939470,-1.343030859410,-0.001770630
3511000000.000000,0.381527957,-0.381527957,-0.360268670,0.959370956045,-1.359524220841,0.021259287
3512000000.000000,0.359485517,-0.359485517,-0.359934625,0.959407852531,-1.376017582272,-0.000449108
3513000000.000000,0.365130939,-0.365130939,-0.359414781,0.959465274117,-1.392510943704,0.005716158
3514000000.000000,0.348838602,-0.348838602,-0.358712441,0.959542859500,-1.409004305135,-0.009873839
3515000000.000000,0.353846978,-0.353846978,-0.357830976,0.959640241200,-1.425497666566,-0.003983998
3516000000.000000,0.354219621,-0.354219621,-0.356773818,0.959757045870,-1.441991027998,-0.002554197
3517000000.000000,0.379389740,-0.379389740,-0.355544462,0.959892894604,-1.458484389429,0.023845278
3518000000.000000,0.346440227,-0.346440227,-0.354146455,0.960047403243,-1.474977750860,-0.007706228
3519000000.000000,0.344266768,-0.344266768,-0.352583398,0.960220182675,-1.491471112292,-0.008316630
3520000000.000000,0.334339359,-0.334339359,-0.350858943,0.960410839140,-1.507964473723,-0.016519584
3521000000.000000,0.352910279,-0.352910279,-0.348976785,0.960618974521,-1.524457835154,0.003933494
3522000000.000000,0.323927543,-0.323927543,-0.346940662,0.960844186644,-1.540951196586,-0.023013119
3523000000.000000,0.320546411,-0.320546411,-0.344754351,0.961086069568,-1.557444558017,-0.024207940
3524000000.000000,0.321070052,-0.321070052,-0.342421666,0.961344213870,-1.573937919448,-0.021351614
3525000000.000000,0.316487500,-0.316487500,-0.339946450,0.961618206936,-1.590431280880,-0.023458950
3526000000.000000,0.321173580,-0.321173580,-0.337332578,0.961907633241,-1.606924642311,-0.016158998
3527000000.000000,0.302954152,-0.302954152,-0.334583950,0.962212074626,-1.623418003743,-0.031629798
3528000000.000000,0.299820389,-0.299820389,-0.331704490,0.962531110579,-1.639911365174,-0.031884101
3529000000.000000,0.307630077,-0.307630077,-0.328698139,0.962864318504,-1.656404726605,-0.021068062
3530000000.000000,0.307521184,-0.307521184,-0.325568856,0.963211273989,-1.672898088037,-0.018047672
3531000000.000000,0.314253072,-0.314253072,-0.322320616,0.963571551078,-1.689391449468,-0.008067544
3532000000.000000,0.295837769,-0.295837769,-0.318957401,0.963944722528,-1.705884810899,-0.023119632
3533000000.000000,0.294224839,-0.294224839,-0.315483202,0.964330360070,-1.722378172331,-0.021258363
3534000000.000000,0.293877858,-0.293877858,-0.311902017,0.964728034662,-1.738871533762,-0.018024159
3535000000.000000,0.292222115,-0.292222115,-0.308217844,0.965137316747,-1.755364895193,-0.015995729
3536000000.000000,0.295793278,-0.295793278,-0.304434681,0.965557776493,-1.771858256625,-0.008641403
3537000000.000000,0.257978061,-0.257978061,-0.300556523,0.965988984043,-1.788351618056,-0.042578462
3538000000.000000,0.282513694,-0.282513694,-0.296587361,0.966430509753,-1.804844979487,-0.014073667
3539000000.000000,0.268421081,-0.268421081,-0.292531174,0.966881924430,-1.821338340919,-0.024110093
3540000000.000000,0.264366940,-0.264366940,-0.288391934,0.967342799563,-1.837831702350,-0.024024994
3541000000.000000,0.259884767,-0.259884767,-0.284173597,0.967812707553,-1.854325063781,-0.024288830
3542000000.000000,0.268320112,-0.268320112,-0.279880105,0.968291221939,-1.870818425213,-0.011559993
3543000000.000000,0.247414499,-0.247414499,-0.275515382,0.968777917618,-1.887311786644,-0.028100883
3544000000.000000,0.244932981,-0.244932981,-0.271083331,0.969272371061,-1.903805148075,-0.026150350
3545000000.000000,0.265245013,-0.265245013,-0.266587835,0.969774160527,-1.920298509507,-0.001342822
3546000000.000000,0.245134451,-0.245134451,-0.262032751,0.970282866273,-1.936791870938,-0.016898300
3547000000.000000,0.246635045,-0.246635045,-0.257421908,0.970798070755,-1.953285232369,-0.010786863
3548000000.000000,0.247277721,-0.247277721,-0.252759110,0.971319358831,-1.969778593801,-0.005481389
3549000000.000000,0.233482322,-0.233482322,-0.248048128,0.971846317961,-1.986271955232,-0.014565806
3550000000.000000,0.234840983,-0.234840983,-0.243292703,0.972378538390,-2.002765316663,-0.008451720
3551000000.000000,0.244274976,-0.244274976,-0.238496540,0.972915613346,-2.019258678095,0.005778436
3552000000.000000,0.221875094,-0.221875094,-0.233663309,0.973457139215,-2.035752039526,-0.011788215
3553000000.000000,0.215546963,-0.215546963,-0.228796644,0.974002715728,-2.052245400958,-0.013249681
3554000000.000000,0.206624766,-0.206624766,-0.223900138,0.974551946130,-2.068738762389,-0.017275372
3555000000.000000,0.195111605,-0.195111605,-0.218977345,0.975104437356,-2.085232123820,-0.023865740
3556000000.000000,0.189037771,-0.189037771,-0.214031775,0.975659800192,-2.101725485252,-0.024994004
3557000000.000000,0.197832243,-0.197832243,-0.209066896,0.976217649443,-2.118218846683,-0.011234653
3558000000.000000,0.185507347,-0.185507347,-0.204086132,0.976777604087,-2.134712208114,-0.018578785
3559000000.000000,0.179280281,-0.179280281,-0.199092859,0.977339287430,-2.151205569546,-0.019812578
3560000000.000000,0.186995608,-0.186995608,-0.194090406,0.977902327254,-2.167698930977,-0.007094798
3561000000.000000,0.178977644,-0.178977644,-0.189082055,0.978466355963,-2.184192292408,-0.010104411
3562000000.000000,0.163484446,-0.163484446,-0.184071035,0.979031010725,-2.200685653840,-0.020586589
3563000000.000000,0.172030295,-0.172030295,-0.179060527,0.979595933604,-2.217179015271,-0.007030232
3564000000.000000,0.174336264,-0.174336264,-0.174053659,0.980160771695,-2.233672376702,0.000282605
3565000000.000000,0.160114140,-0.160114140,-0.169053506,0.980725177250,-2.250165738134,-0.008939366
3566000000.000000,0.169186889,-0.169186889,-0.164063090,0.981288807801,-2.266659099565,0.005123799
3567000000.000000,0.148007316,-0.148007316,-0.159085378,0.981851326279,-2.283152460996,-0.011078062
3568000000.000000,0.148582588,-0.148582588,-0.154123280,0.982412401129,-2.299645822428,-0.005540692
3569000000.000000,0.151986124,-0.151986124,-0.149179652,0.982971706419,-2.316139183859,0.002806472
3570000000.000000,0.157070928,-0.157070928,-0.144257291,0.983528921943,-2.332632545290,0.012813637
3571000000.000000,0.130327178,-0.130327178,-0.139358938,0.984083733329,-2.349125906722,-0.009031760
3572000000.000000,0.147729774,-0.147729774,-0.134487275,0.984635832128,-2.365619268153,0.013242499
3573000000.000000,0.123429191,-0.123429191,-0.129644925,0.985184915913,-2.382112629584,-0.006215734
3574000000.000000,0.135891322,-0.135891322,-0.124834450,0.985730688362,-2.398605991016,0.011056872
3575000000.000000,0.133347125,-0.133347125,-0.120058356,0.986272859347,-2.415099352447,0.013288769
3576000000.000000,0.121355517,-0.121355517,-0.115319085,0.986811145010,-2.431592713879,0.006036432
3577000000.000000,0.113738385,-0.113738385,-0.110619020,0.987345267841,-2.448086075310,0.003119365
3578000000.000000,0.101294044,-0.101294044,-0.105960481,0.987874956745,-2.464579436741,-0.004666437
3579000000.000000,0.114563368,-0.114563368,-0.101345730,0.988399947115,-2.481072798173,0.013217638
3580000000.000000,0.092685139,-0.092685139,-0.096776964,0.988919980892,-2.497566159604,-0.004091825
3581000000.000000,0.111766829,-0.111766829,-0.092256319,0.989434806622,-2.514059521035,0.019510510
3582000000.000000,0.099320028,-0.099320028,-0.087785870,0.989944179514,-2.530552882467,0.011534158
3583000000.000000,0.098002406,-0.098002406,-0.083367627,0.990447861486,-2.547046243898,0.014634779
3584000000.000000,0.109891195,-0.109891195,-0.079003541,0.990945621218,-2.563539605329,0.030887654
3585000000.000000,0.083891178,-0.083891178,-0.074695497,0.991437234186,-2.580032966761,0.009195681
3586000000.000000,0.087311897,-0.087311897,-0.070445320,0.991922482709,-2.596526328192,0.016866577
3587000000.000000,0.094302890,-0.094302890,-0.066254770,0.992401155976,-2.613019689623,0.028048120
3588000000.000000,0.063510981,-0.063510981,-0.062125547,0.992873050081,-2.629513051055,0.001385434
3589000000.000000,0.076308885,-0.076308885,-0.058059286,0.993337968048,-2.646006412486,0.018249599
3590000000.000000,0.075206652,-0.075206652,-0.054057561,0.993795719852,-2.662499773917,0.021149091
3591000000.000000,0.056876786,-0.056876786,-0.050121882,0.994246122440,-2.678993135349,0.006754904
3592000000.000000,0.054734959,-0.054734959,-0.046253698,0.994688999747,-2.695486496780,0.008481261
3593000000.000000,0.046984997,-0.046984997,-0.042454395,0.995124182701,-2.711979858211,0.004530602
3594000000.000000,0.045303467,-0.045303467,-0.038725298,0.995551509238,-2.728473219643,0.006578169
3595000000.000000,0.041254529,-0.041254529,-0.035067670,0.995970824302,-2.744966581074,0.006186859
3596000000.000000,0.042456831,-0.042456831,-0.031482711,0.996381979843,-2.761459942505,0.010974120
3597000000.000000,0.039190590,-0.039190590,-0.027971561,0.996784834818,-2.777953303937,0.011219029
3598000000.000000,0.044076475,-0.044076475,-0.024535298,0.997179255182,-2.794446665368,0.019541177
3599000000.000000,0.055318316,-0.055318316,-0.021174942,0.997565113875,-2.810940026799,0.034143374
3600000000.000000,0.037307265,-0.037307265,-0.017891449,0.997942290810,-2.827433388231,0.019415816
3601000000.000000,0.041130615,-0.041130615,-0.014685717,0.998310672857,-2.843926749662,0.026444898
3602000000.000000,0.031714462,-0.031714462,-0.011558584,0.998670153820,-2.860420111093,0.020155878
3603000000.000000,0.028585077,-0.028585077,-0.008510830,0.999020634412,-2.876913472525,0.020074247
3604000000.000000,0.041998470,-0.041998470,-0.005543173,0.999362022228,-2.893406833956,0.036455297
3605000000.000000,0.045079698,-0.045079698,-0.002656276,0.999694231718,-2.909900195388,0.042423422
3606000000.000000,0.019404789,-0.019404789,0.000149258,1.000017184145,-2.926393556819,0.019554047
3607000000.000000,0.025176006,-0.025176006,0.002872883,1.000330807557,-2.942886918250,0.028048889
3608000000.000000,0.002018566,-0.002018566,0.005514108,1.000635036741,-2.959380279682,0.007532674
3609000000.000000,0.006572680,-0.006572680,0.008072502,1.000929813180,-2.975873641113,0.014645182
3610000000.000000,0.005641941,-0.005641941,0.010547687,1.001215085009,-2.992367002544,0.016189628
3611000000.000000,0.017988899,-0.017988899,0.012939342,1.001490806966,-3.008860363976,0.030928241
3612000000.000000,0.013313955,-0.013313955,0.015247200,1.001756940338,-3.025353725407,0.028561155
3613000000.000000,-0.005246800,0.005246800,0.017471047,1.002013452907,-3.041847086838,0.012224247
3614000000.000000,-0.005179258,0.005179258,0.019610726,1.002260318893,-3.058340448270,0.014431468
3615000000.000000,0.022775649,-0.022775649,0.021666129,1.002497518894,-3.074833809701,0.044441778
3616000000.000000,-0.012625905,0.012625905,0.023637204,1.002725039823,-3.091327171132,0.011011299
3617000000.000000,-0.011631957,0.011631957,0.025523948,1.002942874841,-3.107820532564,0.013891991
3618000000.000000,-0.004798041,0.004798041,0.027326410,1.003151023291,-3.124313893995,0.022528369
3619000000.000000,0.014757704,-0.014757704,0.029044691,1.003349490627,-3.140807255426,0.043802395
3620000000.000000,0.003196523,-0.003196523,0.030678939,1.003538288340,-3.157300616858,0.033875462
3621000000.000000,0.015093102,-0.015093102,0.032229352,1.003717433886,-3.173793978289,0.047322454
3622000000.000000,-0.023565465,0.023565465,0.033696179,1.003886950604,-3.190287339720,0.010130714
3623000000.000000,-0.022306703,0.022306703,0.035079712,1.004046867640,-3.206780701152,0.012773009
3624000000.000000,-0.011148135,0.011148135,0.036380294,1.004197219864,-3.223274062583,0.025232159
3625000000.000000,-0.013105759,0.013105759,0.037598312,1.004338047787,-3.239767424014,0.024492553
3626000000.000000,-0.029106726,0.029106726,0.038734198,1.004469397470,-3.256260785446,0.009627472
3627000000.000000,-0.010532899,0.010532899,0.039788432,1.004591320446,-3.272754146877,0.029255533
3628000000.000000,-0.021766216,0.021766216,0.040761534,1.004703873618,-3.289247508309,0.018995318
3629000000.000000,-0.020878766,0.020878766,0.041654069,1.004807119179,-3.305740869740,0.020775303
3630000000.000000,-0.025068859,0.025068859,0.042466644,1.004901124508,-3.322234231171,0.017397785
3631000000.000000,-0.042797494,0.042797494,0.043199909,1.004985962084,-3.338727592603,0.000402415
3632000000.000000,-0.002390482,0.002390482,0.043854553,1.005061709381,-3.355220954034,0.041464071
3633000000.000000,-0.033510430,0.033510430,0.044431305,1.005128448776,-3.371714315465,0.010920875
3634000000.000000,-0.022376386,0.022376386,0.044930935,1.005186267444,-3.388207676897,0.022554549
3635000000.000000,-0.031784420,0.031784420,0.045354250,1.005235257261,-3.404701038328,0.013569830
3636000000.000000,-0.018587187,0.018587187,0.045702093,1.005275514696,-3.421194399759,0.027114906
3637000000.000000,-0.034838360,0.034838360,0.045975347,1.005307140710,-3.437687761191,0.011136987
3638000000.000000,-0.020228560,0.020228560,0.046174929,1.005330240652,-3.454181122622,0.025946369
3639000000.000000,-0.043439221,0.043439221,0.046301791,1.005344924146,-3.470674484053,0.002862570
3640000000.000000,-0.021296192,0.021296192,0.046356920,1.005351304990,-3.487167845485,0.025060728
3641000000.000000,-0.038408400,0.038408400,0.046341334,1.005349501041,-3.503661206916,0.007932934
3642000000.000000,-0.042433800,0.042433800,0.046256087,1.005339634110,-3.520154568347,0.003822287
3643000000.000000,-0.034092578,0.034092578,0.046102261,1.005321829846,-3.536647929779,0.012009683
3644000000.000000,-0.046770251,0.046770251,0.045880971,1.005296217629,-3.553141291210,-0.000889280
3645000000.000000,-0.035976595,0.035976595,0.045593361,1.005262930451,-3.569634652641,0.009616766
3646000000.000000,-0.045555285,0.045555285,0.045240603,1.005222104809,-3.586128014073,-0.000314682
3647000000.000000,-0.042061043,0.042061043,0.044823899,1.005173880585,-3.602621375504,0.002762856
3648000000.000000,-0.048142798,0.048142798,0.044344476,1.005118400934,-3.619114736935,-0.003798322
3649000000.000000,-0.043497954,0.043497954,0.043803588,1.005055812167,-3.635608098367,0.000305634
3650000000.000000,-0.043430068,0.043430068,0.043202515,1.004986263635,-3.652101459798,-0.000227553
3651000000.000000,-0.042886336,0.042886336,0.042542561,1.004909907614,-3.668594821229,-0.000343775
3652000000.000000,-0.050608954,0.050608954,0.041825052,1.004826899184,-3.685088182661,-0.008783902
3653000000.000000,-0.040933848,0.040933848,0.041051338,1.004737396115,-3.701581544092,0.000117490
3654000000.000000,-0.039588801,0.039588801,0.040222791,1.004641558746,-3.718074905524,0.000633990
3655000000.000000,-0.042278851,0.042278851,0.039340802,1.004539549871,-3.734568266955,-0.002938049
3656000000.000000,-0.053669230,0.053669230,0.038406783,1.004431534617,-3.751061628386,-0.015262447
3657000000.000000,-0.050961939,0.050961939,0.037422164,1.004317680327,-3.767554989818,-0.013539775
3658000000.000000,-0.049862552,0.049862552,0.036388395,1.004198156441,-3.784048351249,-0.013474157
3659000000.000000,-0.039398253,0.039398253,0.035306939,1.004073134379,-3.800541712680,-0.004091314
3660000000.000000,-0.040274700,0.040274700,0.034179280,1.003942787419,-3.817035074112,-0.006095420
3661000000.000000,-0.039677771,0.039677771,0.033006912,1.003807290585,-3.833528435543,-0.006670859
3662000000.000000,-0.046295554,0.046295554,0.031791347,1.003666820521,-3.850021796974,-0.014504207
3663000000.000000,-0.041664457,0.041664457,0.030534109,1.003521555377,-3.866515158406,-0.011130348
3664000000.000000,-0.048119477,0.048119477,0.029236734,1.003371674693,-3.883008519837,-0.018882743
3665000000.000000,-0.048221468,0.048221468,0.027900768,1.003217359278,-3.899501881268,-0.020320700
3666000000.000000,-0.047394883,0.047394883,0.026527771,1.003058791094,-3.915995242700,-0.020867112
3667000000.000000,-0.041117864,0.041117864,0.025119309,1.002896153140,-3.932488604131,-0.015998555
3668000000.000000,-0.048661228,0.048661228,0.023676959,1.002729629336,-3.948981965562,-0.024984269
3669000000.000000,-0.046126594,0.046126594,0.022202304,1.002559404406,-3.965475326994,-0.023924290
3670000000.000000,-0.051278280,0.051278280,0.020696934,1.002385663764,-3.981968688425,-0.030581346
3671000000.000000,-0.028440357,0.028440357,0.019162445,1.002208593399,-3.998462049856,-0.009277912
3672000000.000000,-0.053259554,0.053259554,0.017600439,1.002028379761,-4.014955411288,-0.035659115
3673000000.000000,-0.042476636,0.042476636,0.016012519,1.001845209649,-4.031448772719,-0.026464117
3674000000.000000,-0.040852267,0.040852267,0.014400293,1.001659270098,-4.047942134150,-0.026451974
3675000000.000000,-0.045087714,0.045087714,0.012765372,1.001470748267,-4.064435495582,-0.032322342
3676000000.000000,-0.057837151,0.057837151,0.011109366,1.001279831330,-4.080928857013,-0.046727785
3677000000.000000,-0.035209577,0.035209577,0.009433887,1.001086706362,-4.097422218444,-0.025775690
3678000000.000000,-0.058379248,0.058379248,0.007740544,1.000891560237,-4.113915579876,-0.050638704
3679000000.000000,-0.024444577,0.024444577,0.006030947,1.000694579517,-4.130408941307,-0.018413630
3680000000.000000,-0.032083025,0.032083025,0.004306702,1.000495950341,-4.146902302739,-0.027776323
3681000000.000000,-0.034152866,0.034152866,0.002569413,1.000295858328,-4.163395664170,-0.031583453
3682000000.000000,-0.017319713,0.017319713,0.000820678,1.000094488464,-4.179889025601,-0.016499035
3683000000.000000,-0.022285292,0.022285292,-0.000937910,0.999892025007,-4.196382387033,-0.023223202
3684000000.000000,-0.015370653,0.015370653,-0.002704761,0.999688651376,-4.212875748464,-0.018075414
3685000000.000000,-0.018593836,0.018593836,-0.004478296,0.999484550058,-4.229369109895,-0.023072132
3686000000.000000,-0.020761720,0.020761720,-0.006256940,0.999279902504,-4.245862471327,-0.027018660
3687000000.000000,-0.018185715,0.018185715,-0.008039131,0.999074889033,-4.262355832758,-0.026224846
3688000000.000000,-0.024171229,0.024171229,-0.009823312,0.998869688732,-4.278849194189,-0.033994541
3689000000.000000,-0.031203939,0.031203939,-0.011607938,0.998664479365,-4.295342555621,-0.042811877
3690000000.000000,-0.007921226,0.007921226,-0.013391476,0.998459437276,-4.311835917052,-0.021312702
3691000000.000000,-0.010916936,0.010916936,-0.015172403,0.998254737296,-4.328329278483,-0.026089339
3692000000.000000,-0.023861921,0.023861921,-0.016949211,0.998050552654,-4.344822639915,-0.040811132
3693000000.000000,-0.018840317,0.018840317,-0.018720403,0.997847054889,-4.361316001346,-0.037560720
3694000000.000000,-0.018286789,0.018286789,-0.020484498,0.997644413755,-4.377809362777,-0.038771287
3695000000.000000,-0.010831849,0.010831849,-0.022240030,0.997442797144,-4.394302724209,-0.033071879
3696000000.000000,-0.029951688,0.029951688,-0.023985548,0.997242370994,-4.410796085640,-0.053937236
3697000000.000000,-0.007017663,0.007017663,-0.025719618,0.997043299209,-4.427289447071,-0.032737281
3698000000.000000,0.005503260,-0.005503260,-0.027440824,0.996845743578,-4.443782808503,-0.021937564
3699000000.000000,-0.000633850,0.000633850,-0.029147766,0.996649863695,-4.460276169934,-0.029781616
3700000000.000000,0.026999512,-0.026999512,-0.030839065,0.996455816879,-4.476769531365,-0.003839553
3701000000.000000,0.004868181,-0.004868181,-0.032513362,0.996263758102,-4.493262892797,-0.027645181
3702000000.000000,-0.004166428,0.004166428,-0.034169314,0.996073839911,-4.509756254228,-0.038335742
3703000000.000000,0.003968094,-0.003968094,-0.035805604,0.995886212356,-4.526249615659,-0.031837510
3704000000.000000,-0.013730408,0.013730408,-0.037420934,0.995701022922,-4.542742977091,-0.051151342
3705000000.000000,0.009423609,-0.009423609,-0.039014028,0.995518416457,-4.559236338522,-0.029590419
3706000000.000000,0.008768408,-0.008768408,-0.040583633,0.995338535105,-4.575729699954,-0.031815225
3707000000.000000,0.011479750,-0.011479750,-0.042128520,0.995161518244,-4.592223061385,-0.030648770
3708000000.000000,0.027150084,-0.027150084,-0.043647484,0.994987502421,-4.608716422816,-0.016497400
3709000000.000000,0.028161005,-0.028161005,-0.045139344,0.994816621288,-4.625209784248,-0.016978339
3710000000.000000,0.023888307,-0.023888307,-0.046602945,0.994649005547,-4.641703145679,-0.022714638
3711000000.000000,0.023039578,-0.023039578,-0.048037157,0.994484782893,-4.658196507110,-0.024997579
3712000000.000000,0.014249873,-0.014249873,-0.049440877,0.994324077952,-4.674689868542,-0.035191004
3713000000.000000,0.039788295,-0.039788295,-0.050813028,0.994167012235,-4.691183229973,-0.011024733
3714000000.000000,0.028433795,-0.028433795,-0.052152562,0.994013704083,-4.707676591404,-0.023718767
3715000000.000000,0.035702341,-0.035702341,-0.053458457,0.993864268620,-4.724169952836,-0.017756116
3716000000.000000,0.059897406,-0.059897406,-0.054729720,0.993718817699,-4.740663314267,0.005167686
3717000000.000000,0.034736346,-0.034736346,-0.055965388,0.993577459868,-4.757156675698,-0.021229042
3718000000.000000,0.038759242,-0.038759242,-0.057164524,0.993440300314,-4.773650037130,-0.018405282
3719000000.000000,0.030412389,-0.030412389,-0.058326225,0.993307440832,-4.790143398561,-0.027913836
3720000000.000000,0.034254842,-0.034254842,-0.059449614,0.993178979780,-4.806636759992,-0.025194772
3721000000.000000,0.025981228,-0.025981228,-0.060533847,0.993055012044,-4.823130121424,-0.034552619
3722000000.000000,0.032563127,-0.032563127,-0.061578109,0.992935629001,-4.839623482855,-0.029014982
3723000000.000000,0.034340778,-0.034340778,-0.062581619,0.992820918490,-4.856116844286,-0.028240841
3724000000.000000,0.065677556,-0.065677556,-0.063543624,0.992710964776,-4.872610205718,0.002133932
3725000000.000000,0.065208443,-0.065208443,-0.064463405,0.992605848522,-4.889103567149,0.000745038
3726000000.000000,0.054573661,-0.054573661,-0.065340274,0.992505646768,-4.905596928580,-0.010766613
3727000000.000000,0.049569851,-0.049569851,-0.066173576,0.992410432898,-4.922090290012,-0.016603725
3728000000.000000,0.059828004,-0.059828004,-0.066962688,0.992320276621,-4.938583651443,-0.007134684
3729000000.000000,0.051578602,-0.051578602,-0.067707020,0.992235243952,-4.955077012874,-0.016128418
3730000000.000000,0.054599172,-0.054599172,-0.068406015,0.992155397191,-4.971570374306,-0.013806843
3731000000.000000,0.051548139,-0.051548139,-0.069059151,0.992080794906,-4.988063735737,-0.017511012
3732000000.000000,0.075509809,-0.075509809,-0.069665935,0.992011491922,-5.004557097169,0.005843874
3733000000.000000,0.061786816,-0.061786816,-0.070225912,0.991947539303,-5.021050458600,-0.008439096
3734000000.000000,0.073405393,-0.073405393,-0.070738657,0.991888984348,-5.037543820031,0.002666736
3735000000.000000,0.080585655,-0.080585655,-0.071203783,0.991835870576,-5.054037181463,0.009381872
3736000000.000000,0.069557040,-0.069557040,-0.071620932,0.991788237726,-5.070530542894,-0.002063892
3737000000.000000,0.070448279,-0.070448279,-0.071989783,0.991746121747,-5.087023904325,-0.001541504
3738000000.000000,0.071961557,-0.071961557,-0.072310049,0.991709554801,-5.103517265757,-0.000348492
3739000000.000000,0.070522243,-0.070522243,-0.072581475,0.991678565259,-5.120010627188,-0.002059232
3740000000.000000,0.068384073,-0.068384073,-0.072803842,0.991653177701,-5.136503988619,-0.004419769
3741000000.000000,0.076291663,-0.076291663,-0.072976964,0.991633412926,-5.152997350051,0.003314699
3742000000.000000,0.089634278,-0.089634278,-0.073100688,0.991619287951,-5.169490711482,0.016533590
3743000000.000000,0.082904753,-0.082904753,-0.073174896,0.991610816023,-5.185984072913,0.009729857
3744000000.000000,0.089525033,-0.089525033,-0.073199505,0.991608006626,-5.202477434345,0.016325528
3745000000.000000,0.081517649,-0.081517649,-0.073174463,0.991610865493,-5.218970795776,0.008343186
3746000000.000000,0.090864997,-0.090864997,-0.073099753,0.991619394619,-5.235464157207,0.017765244
3747000000.000000,0.107748437,-0.107748437,-0.072975393,0.991633592277,-5.251957518639,0.034773044
3748000000.000000,0.083425303,-0.083425303,-0.072801431,0.991653453033,-5.268450880070,0.010623872
